Page,Column,OCR,Points
75,6,之者不可得乘,"[(85, 71), (121, 330)]"
75,7,舍魚而取焦掌者也,"[(45, 71), (75, 415)]"
77,0,生亦我所欲也,"[(350, 57), (392, 317)]"
77,1,義亦我所欲也,"[(312, 56), (345, 314)]"
77,2,之者不可得乘,"[(267, 65), (300, 320)]"
77,3,舍生而取義者也,"[(219, 57), (259, 360)]"
77,4,生亦我所欲,"[(176, 60), (213, 275)]"
77,5,所欲有甚於生者,"[(131, 59), (167, 359)]"
77,6,故不爲苟得也,"[(82, 57), (125, 318)]"
77,7,死亦我所惡,"[(46, 61), (76, 271)]"
79,0,所惡育葚於死者,"[(356, 61), (389, 358)]"
79,1,故患育所不辟也,"[(314, 62), (344, 359)]"
79,2,如使人之所欲莫甚於生,"[(266, 61), (300, 496)]"
79,3,則几可以得生者,"[(222, 61), (255, 357)]"
79,4,何不用也,"[(176, 59), (213, 234)]"
79,5,使人之所惡莫甚於死者,"[(134, 61), (167, 494)]"
79,6,則几司以辟患者,"[(87, 59), (123, 358)]"
79,7,何不爲也,"[(44, 60), (80, 228)]"
81,0,曲是則生而有不用也,"[(357, 61), (387, 446)]"
81,1,由是則可以辞患,"[(314, 62), (344, 361)]"
81,2,而有不爲也,"[(269, 63), (299, 270)]"
81,3,是故所欲有甚於生者,"[(222, 58), (255, 446)]"
81,4,所惡有甚於死者,"[(177, 59), (213, 360)]"
81,5,排獨賢者有是心也,"[(134, 61), (164, 399)]"
81,6,人皆有之,"[(87, 59), (124, 227)]"
81,7,䝨者能勿䘮耳,"[(43, 57), (78, 320)]"
83,0,一簞食一旦業,"[(353, 56), (395, 361)]"
83,1,得之則生𧖱得則死,"[(305, 55), (349, 456)]"
83,2,𡀯爾而唭之,"[(267, 56), (304, 270)]"
83,3,行道之人𧖱受,"[(218, 57), (260, 319)]"
83,4,䜹爾面興之,"[(176, 54), (218, 271)]"
83,5,乞人不肩也,"[(133, 61), (167, 271)]"
83,6,萬鍾則不辨禮義而受之,"[(88, 58), (121, 492)]"
83,7,萬鍾於我何加焉,"[(44, 58), (82, 369)]"
85,0,爲宮室之美,"[(356, 57), (390, 274)]"
85,1,妻妾之奉,"[(311, 55), (348, 232)]"
85,2,所識窮泛者得我與,"[(267, 61), (300, 407)]"
85,3,鄕爲身死而不受,"[(220, 58), (257, 360)]"
85,4,令爲宮室之羡爲之,"[(178, 61), (211, 401)]"
85,5,鄕爲身死而不受,"[(133, 60), (166, 362)]"
85,6,呐爲妻妾之奉爲之,"[(90, 60), (120, 400)]"
85,7,鄕爲身死而不受,"[(45, 58), (78, 366)]"
87,0,今爲所識窮泛者,"[(354, 68), (391, 372)]"
87,1,得我而爲之,"[(311, 68), (348, 283)]"
87,2,是亦不呵以己乎,"[(270, 70), (300, 374)]"
87,3,此之調失其本心,"[(219, 68), (259, 368)]"
87,4,孟子曰,"[(179, 70), (214, 192)]"
87,5,一人心也,"[(130, 67), (172, 287)]"
87,6,鄕人路也,"[(85, 63), (129, 286)]"
87,7,舍其路而錦由,"[(44, 68), (78, 325)]"
89,0,放其心而不知求,"[(344, 51), (399, 366)]"
89,1,哀哉,"[(304, 54), (355, 145)]"
89,2,人有難犬枚,"[(263, 59), (303, 277)]"
89,3,則知求之,"[(217, 58), (256, 226)]"
89,4,有放心,"[(175, 57), (213, 184)]"
89,5,而不知求,"[(127, 57), (171, 232)]"
89,6,𭓇問之道無他,"[(85, 55), (125, 318)]"
89,7,求其放慈而己矣,"[(44, 58), (79, 366)]"
91,0,孟子曰,"[(351, 65), (393, 194)]"
91,1,令育無名之指,"[(309, 66), (348, 325)]"
91,2,屈而不信,"[(262, 67), (300, 239)]"
91,3,排疾漏害事也,"[(219, 66), (257, 324)]"
91,4,如育能仲之者,"[(175, 66), (213, 327)]"
91,5,則不遠秦楚之路,"[(131, 69), (170, 370)]"
91,6,爲指之不苦人也,"[(86, 66), (123, 369)]"
91,7,指不若之則知惡之,"[(45, 65), (79, 455)]"
93,0,心不苦人則不知惡,"[(350, 62), (392, 455)]"
93,1,此之調不知類也,"[(307, 60), (350, 368)]"
93,2,孟子曰,"[(264, 60), (305, 187)]"
93,3,拱把之同梓,"[(218, 60), (259, 274)]"
93,4,人苟欲生之,"[(178, 64), (212, 269)]"
93,5,㗂知所以養之者,"[(132, 62), (167, 361)]"
93,6,全於身,"[(84, 59), (126, 196)]"
93,7,芇不知所以養之者,"[(44, 62), (78, 406)]"
95,0,曰爱身不苦桐,"[(352, 57), (402, 340)]"
95,1,梓哉,"[(308, 62), (347, 154)]"
95,2,𧖱思甚也,"[(265, 60), (306, 236)]"
95,3,孟子曰,"[(220, 64), (261, 190)]"
95,4,人之於身尼,"[(176, 66), (216, 279)]"
95,5,羕所愛,"[(132, 61), (170, 201)]"
95,6,羕所愛則羕所養也,"[(84, 61), (125, 412)]"
95,7,無尼寸之虐不愛焉,"[(47, 68), (77, 411)]"
97,0,則無尼寸之虐不養也,"[(353, 59), (391, 451)]"
97,1,所以考其善不善者,"[(314, 63), (344, 404)]"
97,2,宣有他哉,"[(268, 62), (302, 236)]"
97,3,於己取之而己矣,"[(221, 62), (258, 365)]"
97,4,𬂙有貴賎有小大,"[(173, 55), (217, 410)]"
97,5,無以小害大,"[(134, 60), (168, 277)]"
97,6,無以賎害貴,"[(89, 60), (122, 276)]"
97,7,養其小者爲小人,"[(46, 58), (79, 371)]"
99,0,養其大者爲大人,"[(353, 52), (392, 368)]"
99,1,令有場師,"[(305, 55), (347, 229)]"
99,2,舍其梧桃,"[(259, 56), (304, 237)]"
99,3,養其扙棘,"[(217, 55), (257, 234)]"
99,4,則爲賤場師焉,"[(174, 57), (213, 318)]"
99,5,養其丿指,"[(133, 57), (170, 230)]"
99,6,而失其氣畨,"[(88, 61), (123, 270)]"
99,7,而不知也,"[(44, 62), (78, 227)]"
101,0,則爲浪疾人也,"[(348, 56), (393, 317)]"
101,1,欽食之人,"[(301, 51), (349, 244)]"
101,2,則人賎之矣,"[(264, 59), (303, 276)]"
101,3,爲其養小以失大也,"[(222, 57), (256, 402)]"
101,4,欽食之人,"[(174, 56), (215, 238)]"
101,5,無有失也,"[(129, 55), (172, 228)]"
101,6,則口腹,"[(82, 55), (126, 195)]"
101,7,宣適爲尺寸之虐哉,"[(43, 59), (79, 408)]"
103,0,公都子問曰,"[(353, 65), (394, 279)]"
103,1,鈎是人也或爲大人,"[(309, 64), (350, 461)]"
103,2,或爲小何也,"[(266, 62), (305, 371)]"
103,3,孟子曰,"[(218, 64), (260, 192)]"
103,4,從其大體爲大人,"[(171, 64), (218, 381)]"
103,5,從其小体爲小人,"[(126, 63), (173, 387)]"
103,6,曰鈞是人也,"[(87, 70), (124, 281)]"
103,7,或從其犬體,"[(40, 65), (80, 285)]"
105,0,或從其小體,"[(351, 52), (395, 279)]"
105,1,何也,"[(311, 57), (348, 137)]"
105,2,曰甘目之官不思,"[(266, 65), (301, 358)]"
105,3,而󰰿於物,"[(218, 59), (257, 247)]"
105,4,物交物,"[(172, 55), (214, 189)]"
105,5,則引之而己矣,"[(131, 59), (167, 320)]"
105,6,心之官則思,"[(84, 62), (123, 274)]"
105,7,思則得之,"[(38, 57), (82, 230)]"
107,0,不思則不得也,"[(354, 64), (390, 323)]"
107,1,此天之所興我者,"[(312, 64), (345, 362)]"
107,2,先立乎其大者,"[(267, 62), (300, 320)]"
107,3,則其小者不能奪也,"[(222, 62), (254, 405)]"
107,4,此爲大人而己矣,"[(180, 64), (210, 365)]"
107,5,孟子曰,"[(133, 61), (168, 189)]"
107,6,有夭爵者有人爵者,"[(85, 58), (126, 455)]"
107,7,仁義忠信樂善不僣,"[(41, 60), (78, 455)]"
109,0,此夭爵也,"[(356, 60), (394, 224)]"
109,1,公卿六夫,"[(307, 55), (351, 236)]"
109,2,此人爵也,"[(266, 60), (303, 226)]"
109,3,古之人,"[(218, 54), (262, 193)]"
109,4,修其夭爵而人爵從之,"[(175, 54), (218, 448)]"
109,5,今之人,"[(127, 54), (172, 197)]"
109,6,修其夭爵以要人爵,"[(87, 58), (123, 404)]"
109,7,既得人爵而棄其天爵,"[(45, 62), (78, 448)]"
111,0,則惑之甚者也,"[(349, 61), (393, 326)]"
111,1,終亦冷亡而己矣,"[(304, 59), (353, 375)]"
111,2,孟子曰,"[(266, 60), (299, 190)]"
111,3,欲貴者,"[(216, 62), (261, 193)]"
111,4,人之同心也,"[(178, 69), (211, 278)]"
111,5,人人有貴於己者,"[(130, 68), (167, 369)]"
111,6,弗思耳矣,"[(85, 60), (125, 241)]"
111,7,人之所貴者,"[(42, 64), (79, 279)]"
113,0,非良貴也,"[(354, 57), (393, 227)]"
113,1,趙孟之所貴,"[(308, 57), (347, 272)]"
113,2,趙孟能貶之,"[(267, 57), (302, 269)]"
113,3,詩云,"[(216, 52), (257, 137)]"
113,4,既醉以洒既𫗄双德,"[(175, 58), (216, 455)]"
113,5,言𫗄乎人義也,"[(130, 61), (170, 318)]"
113,6,所以不慮人之,"[(82, 58), (122, 315)]"
113,7,骨梁之味也,"[(43, 55), (79, 275)]"
115,0,令聞廣譽施於身,"[(351, 55), (394, 372)]"
115,1,所以不慮人之文繡也,"[(310, 56), (348, 454)]"
115,2,孟子曰,"[(268, 57), (301, 185)]"
115,3,仁之勝不仁也,"[(215, 56), (261, 320)]"
115,4,猶水之勝夾,"[(172, 59), (215, 285)]"
115,5,今之爲仁者,"[(131, 61), (168, 276)]"
115,6,猶以丿麻水,"[(86, 59), (123, 281)]"
115,7,救丿車新之火也,"[(45, 56), (79, 367)]"
117,0,不患,"[(351, 59), (395, 150)]"
117,1,則謂之水不勝火,"[(311, 63), (346, 372)]"
117,2,此匕興於不仁之甚者也,"[(267, 66), (300, 496)]"
117,3,亦終冷元而己矣,"[(221, 61), (259, 369)]"
117,4,孟子曰,"[(177, 59), (215, 191)]"
117,5,五榖者,"[(129, 60), (171, 190)]"
117,6,樵之美者也,"[(84, 60), (126, 277)]"
117,7,苟爲不然不如箋釋,"[(43, 60), (80, 455)]"
119,0,夫仁亦在乎默之而己矣,"[(353, 66), (392, 515)]"
119,1,孟子曰,"[(312, 64), (344, 190)]"
119,2,󰑼之教人射,"[(265, 67), (302, 282)]"
119,3,志於斅,"[(220, 71), (254, 236)]"
119,4,學者亦志於榖,"[(172, 66), (212, 372)]"
119,5,大匠誨人必以規短,"[(130, 70), (168, 458)]"
119,6,學者亦以親短,"[(88, 69), (121, 370)]"
121,0,第十二章告子下,"[(354, 102), (394, 415)]"
121,1,任人有悶屋虚子曰,"[(305, 60), (351, 412)]"
121,2,禮期食執重,"[(265, 62), (304, 278)]"
121,3,曰禮重,"[(227, 64), (257, 190)]"
121,4,色與禮執重,"[(178, 67), (213, 286)]"
