Page,Column,transcription,Points,quoc_ngu_groundtruth,Chữ Quốc Ngữ,transcription_list,quoc_ngu_groundtruth_list
7,5,則亦將𦋦賊人,"[(129, 59), (169, 321)]",tắc diệc tương tường tặc nhân,Tắc Diệc Tương Tường Tặc Nhân,"['則', '亦', '將', '𦋦', '賊', '人']","['tắc', 'diệc', 'tương', 'tường', 'tặc', 'nhân']"
7,6,以爲人義與,"[(84, 60), (123, 280)]",dĩ vi nhân nghĩa dư,Dĩ Vi Nhân Nghĩa Dư,"['以', '爲', '人', '義', '與']","['dĩ', 'vi', 'nhân', 'nghĩa', 'dư']"
7,7,率天下之人而禍仁義者,"[(42, 57), (78, 503)]",suất thiên hạ chi nhân nhi họa nhân nghĩa giả,Suất Thiên Hạ Chi Nhân Nhi Họa Nhân Nghĩa Giả,"['率', '天', '下', '之', '人', '而', '禍', '仁', '義', '者']","['suất', 'thiên', 'hạ', 'chi', 'nhân', 'nhi', 'họa', 'nhân', 'nghĩa', 'giả']"
9,0,必子之言夫,"[(353, 64), (390, 283)]",tất tử chi ngôn phù,Tất Tử Chi Ngôn Phù,"['必', '子', '之', '言', '夫']","['tất', 'tử', 'chi', 'ngôn', 'phù']"
9,1,告子曰,"[(308, 61), (351, 192)]",cáo tử viết,2 Cáo Tử Viết,"['告', '子', '曰']","['cáo', 'tử', 'viết']"
9,2,性猫湍永也,"[(266, 63), (303, 276)]",tính do khoan thủy dã,Tính Do Khoan Thủy Dã,"['性', '猫', '湍', '永', '也']","['tính', 'do', 'khoan', 'thủy', 'dã']"
9,3,决諸東方則東流,"[(222, 65), (253, 363)]",quyết chư đông phương tắc đông lưu,Quyết Chư Đông Phương Tắc Đông Lưu,"['决', '諸', '東', '方', '則', '東', '流']","['quyết', 'chư', 'đông', 'phương', 'tắc', 'đông', 'lưu']"
9,4,决諸西方則西流,"[(178, 65), (211, 366)]",quyết chư tây phương tắc tây lưu,Quyết Chư Tây Phương Tắc Tây Lưu,"['决', '諸', '西', '方', '則', '西', '流']","['quyết', 'chư', 'tây', 'phương', 'tắc', 'tây', 'lưu']"
9,5,人性之無分於善不善也,"[(135, 68), (165, 497)]",nhân tính chi vô phân ư thiện bất thiện dã,Nhân Tính Chi Vô Phân Ư Thiện Bất Thiện Dã,"['人', '性', '之', '無', '分', '於', '善', '不', '善', '也']","['nhân', 'tính', 'chi', 'vô', 'phân', 'ư', 'thiện', 'bất', 'thiện', 'dã']"
9,6,猶氷之無分於東西也,"[(88, 65), (121, 452)]",do thủy chi vô phân ư đông tây dã,Do Thủy Chi Vô Phân Ư Đông Tây Dã,"['猶', '氷', '之', '無', '分', '於', '東', '西', '也']","['do', 'thủy', 'chi', 'vô', 'phân', 'ư', 'đông', 'tây', 'dã']"
9,7,孟子曰,"[(41, 60), (82, 191)]",mạnh tử viết,Mạnh Tử Viết,"['孟', '子', '曰']","['mạnh', 'tử', 'viết']"
11,0,水信無分於東西,"[(353, 58), (390, 355)]",thủy tín vô phân ư đông tây,Thủy Tín Vô Phân Ư Đông Tây,"['水', '信', '無', '分', '於', '東', '西']","['thủy', 'tín', 'vô', 'phân', 'ư', 'đông', 'tây']"
11,1,無分於主丁乎,"[(309, 59), (346, 324)]",vô phân ư thượng hạ hồ,Vô Phân Ư Thượng Hạ Hồ,"['無', '分', '於', '主', '丁', '乎']","['vô', 'phân', 'ư', 'thượng', 'hạ', 'hồ']"
11,2,人性之善也,"[(267, 62), (301, 270)]",nhân tính chi thiện dã,Nhân Tính Chi Thiện Dã,"['人', '性', '之', '善', '也']","['nhân', 'tính', 'chi', 'thiện', 'dã']"
11,3,猶水之就下也,"[(217, 57), (259, 317)]",do thủy chi tựu hạ dã,Do Thủy Chi Tựu Hạ Dã,"['猶', '水', '之', '就', '下', '也']","['do', 'thủy', 'chi', 'tựu', 'hạ', 'dã']"
11,4,人無有不善,"[(176, 60), (212, 272)]",nhân vô hữu bất thiện,Nhân Vô Hữu Bất Thiện,"['人', '無', '有', '不', '善']","['nhân', 'vô', 'hữu', 'bất', 'thiện']"
11,5,永無有不仁,"[(133, 60), (167, 274)]",thủy vô hữu bất hạ,Thủy Vô Hữu Bất Hạ,"['永', '無', '有', '不', '仁']","['thủy', 'vô', 'hữu', 'bất', 'hạ']"
11,6,呐夫水博兒𨃴之,"[(85, 56), (125, 358)]",kim phù thủy bác nhi dược chi,Kim Phù Thủy Bác Nhi Dược Chi,"['呐', '夫', '水', '博', '兒', '𨃴', '之']","['kim', 'phù', 'thủy', 'bác', 'nhi', 'dược', 'chi']"
11,7,可使過類,"[(39, 57), (82, 238)]",khả sử quá tảng,Khả Sử Quá Tảng,"['可', '使', '過', '類']","['khả', 'sử', 'quá', 'tảng']"
13,0,激而行之,"[(348, 58), (395, 239)]",kích nhi hành chi,Kích Nhi Hành Chi,"['激', '而', '行', '之']","['kích', 'nhi', 'hành', 'chi']"
13,1,呵使在山,"[(303, 60), (348, 234)]",khả sử tại sơn,Khả Sử Tại Sơn,"['呵', '使', '在', '山']","['khả', 'sử', 'tại', 'sơn']"
13,2,是𡸈水之性哉,"[(263, 61), (303, 326)]",thị khởi thủy chi tính tai,Thị Khởi Thủy Chi Tính Tai,"['是', '𡸈', '水', '之', '性', '哉']","['thị', 'khởi', 'thủy', 'chi', 'tính', 'tai']"
13,3,其势則然也,"[(218, 61), (259, 278)]",kỳ thế tắc nhiên dã,Kỳ Thế Tắc Nhiên Dã,"['其', '势', '則', '然', '也']","['kỳ', 'thế', 'tắc', 'nhiên', 'dã']"
13,4,人之可使爲不善,"[(175, 63), (215, 370)]",nhân chi khả sử vi bất thiện,Nhân Chi Khả Sử Vi Bất Thiện,"['人', '之', '可', '使', '爲', '不', '善']","['nhân', 'chi', 'khả', 'sử', 'vi', 'bất', 'thiện']"
13,5,其性亦猶是也,"[(128, 60), (169, 323)]",kỳ tính diệc do thị dã,Kỳ Tính Diệc Do Thị Dã,"['其', '性', '亦', '猶', '是', '也']","['kỳ', 'tính', 'diệc', 'do', 'thị', 'dã']"
13,6,告子曰,"[(87, 64), (122, 188)]",cáo tử viết,3 Cáo Tử Viết,"['告', '子', '曰']","['cáo', 'tử', 'viết']"
13,7,生之謂性,"[(38, 60), (81, 235)]",sinh chi vị tính,Sinh Chi Vị Tính,"['生', '之', '謂', '性']","['sinh', 'chi', 'vị', 'tính']"
15,0,孟子曰,"[(351, 54), (393, 185)]",mạnh tử viết,Mạnh Tử Viết,"['孟', '子', '曰']","['mạnh', 'tử', 'viết']"
15,1,生之調性也,"[(309, 58), (346, 270)]",sinh chi vị tính dã,Sinh Chi Vị Tính Dã,"['生', '之', '調', '性', '也']","['sinh', 'chi', 'vị', 'tính', 'dã']"
15,2,猶白之調白期,"[(260, 55), (300, 317)]",do bạch chi vị bạch dư,Do Bạch Chi Vị Bạch Dư,"['猶', '白', '之', '調', '白', '期']","['do', 'bạch', 'chi', 'vị', 'bạch', 'dư']"
15,3,曰然,"[(223, 62), (256, 140)]",viết nhiên,Viết Nhiên,"['曰', '然']","['viết', 'nhiên']"
15,4,白羽之白也,"[(177, 60), (214, 272)]",bạch vũ chi bạch dã,Bạch Vũ Chi Bạch Dã,"['白', '羽', '之', '白', '也']","['bạch', 'vũ', 'chi', 'bạch', 'dã']"
15,5,猶白雪之白,"[(127, 56), (172, 271)]",do bạch tuyết chi bạch,Do Bạch Tuyết Chi Bạch,"['猶', '白', '雪', '之', '白']","['do', 'bạch', 'tuyết', 'chi', 'bạch']"
15,6,白雪之白,"[(84, 56), (124, 227)]",bạch tuyết chi bạch,Bạch Tuyết Chi Bạch,"['白', '雪', '之', '白']","['bạch', 'tuyết', 'chi', 'bạch']"
15,7,猶白玉之白欺,"[(43, 58), (79, 317)]",do bạch ngọc chi bạch dư,Do Bạch Ngọc Chi Bạch Dư,"['猶', '白', '玉', '之', '白', '欺']","['do', 'bạch', 'ngọc', 'chi', 'bạch', 'dư']"
17,0,曰然一,"[(355, 61), (394, 153)]",viết nhiên,Viết Nhiên,"['曰', '然', '一']","['viết', 'nhiên']"
17,1,然則犬之性猶半之悭,"[(310, 59), (352, 453)]",nhiên tắc khuyển chi tính do ngưu chi tính,Nhiên Tắc Khuyển Chi Tính Do Ngưu Chi Tính,"['然', '則', '犬', '之', '性', '猶', '半', '之', '悭']","['nhiên', 'tắc', 'khuyển', 'chi', 'tính', 'do', 'ngưu', 'chi', 'tính']"
17,2,半之性猶人之性歟,"[(263, 59), (306, 413)]",ngưu chi tính do nhân chi tính dư,Ngưu Chi Tính Do Nhân Chi Tính Dư,"['半', '之', '性', '猶', '人', '之', '性', '歟']","['ngưu', 'chi', 'tính', 'do', 'nhân', 'chi', 'tính', 'dư']"
17,3,告子曰,"[(222, 61), (262, 186)]",cáo tử viết,4 Cáo Tử Viết,"['告', '子', '曰']","['cáo', 'tử', 'viết']"
17,4,食包性也,"[(174, 59), (221, 280)]",tự sắc tính dã,Tự Sắc Tính Dã,"['食', '包', '性', '也']","['tự', 'sắc', 'tính', 'dã']"
17,5,仁凶也非外也,"[(126, 55), (175, 366)]",nhân nội dã phi ngoại dã,Nhân Nội Dã Phi Ngoại Dã,"['仁', '凶', '也', '非', '外', '也']","['nhân', 'nội', 'dã', 'phi', 'ngoại', 'dã']"
17,6,義外一也非凶也,"[(84, 55), (129, 370)]",nghĩa ngoại dã phi nội dã,Nghĩa Ngoại Dã Phi Nội Dã,"['義', '外', '一', '也', '非', '凶', '也']","['nghĩa', 'ngoại', 'dã', 'phi', 'nội', 'dã']"
17,7,孟子曰,"[(40, 57), (85, 188)]",mạnh tử viết,Mạnh Tử Viết,"['孟', '子', '曰']","['mạnh', 'tử', 'viết']"
19,0,何以謂仁凶義外也,"[(356, 60), (389, 414)]",khả dĩ vị nhân nội nghĩa ngoại dã,Khả Dĩ Vị Nhân Nội Nghĩa Ngoại Dã,"['何', '以', '謂', '仁', '凶', '義', '外', '也']","['khả', 'dĩ', 'vị', 'nhân', 'nội', 'nghĩa', 'ngoại', 'dã']"
19,1,曰彼長而我長之,"[(315, 64), (345, 355)]",viết bỉ trưởng nhi ngã trưởng chi,Viết Bỉ Trưởng Nhi Ngã Trưởng Chi,"['曰', '彼', '長', '而', '我', '長', '之']","['viết', 'bỉ', 'trưởng', 'nhi', 'ngã', 'trưởng', 'chi']"
19,2,排育長於我也,"[(268, 60), (301, 315)]",phi hữu trưởng ư ngã dã,Phi Hữu Trưởng Ư Ngã Dã,"['排', '育', '長', '於', '我', '也']","['phi', 'hữu', 'trưởng', 'ư', 'ngã', 'dã']"
19,3,猶彼白而我白之,"[(221, 59), (257, 358)]",do bỉ bạch nhi ngã bạch chi,Do Bỉ Bạch Nhi Ngã Bạch Chi,"['猶', '彼', '白', '而', '我', '白', '之']","['do', 'bỉ', 'bạch', 'nhi', 'ngã', 'bạch', 'chi']"
19,4,從其白於外也,"[(177, 58), (214, 317)]",tòng kỳ bạch ư ngoại dã,Tòng Kỳ Bạch Ư Ngoại Dã,"['從', '其', '白', '於', '外', '也']","['tòng', 'kỳ', 'bạch', 'ư', 'ngoại', 'dã']"
19,5,故謂之外也,"[(134, 61), (167, 274)]",cố vị chi ngoại dã,Cố Vị Chi Ngoại Dã,"['故', '謂', '之', '外', '也']","['cố', 'vị', 'chi', 'ngoại', 'dã']"
19,6,曰異於白馬之自也,"[(91, 65), (120, 400)]",viết dị ư bạch mã chi bạch dã,Viết Dị Ư Bạch Mã Chi Bạch Dã,"['曰', '異', '於', '白', '馬', '之', '自', '也']","['viết', 'dị', 'ư', 'bạch', 'mã', 'chi', 'bạch', 'dã']"
19,7,無以異於白人一之白也,"[(47, 59), (77, 446)]",vô dĩ dị ư bạch nhân chi bạch dã,Vô Dĩ Dị Ư Bạch Nhân Chi Bạch Dã,"['無', '以', '異', '於', '白', '人', '一', '之', '白', '也']","['vô', 'dĩ', 'dị', 'ư', 'bạch', 'nhân', 'chi', 'bạch', 'dã']"
21,0,不誠長馬之長也,"[(358, 62), (388, 357)]",bất thức trưởng mã chi trưởng dã,Bất Thức Trưởng Mã Chi Trưởng Dã,"['不', '誠', '長', '馬', '之', '長', '也']","['bất', 'thức', 'trưởng', 'mã', 'chi', 'trưởng', 'dã']"
21,1,無以異於長人之長寧,"[(315, 61), (346, 450)]",vô dĩ dị ư trưởng nhân chi trưởng dư,Vô Dĩ Dị Ư Trưởng Nhân Chi Trưởng Dư,"['無', '以', '異', '於', '長', '人', '之', '長', '寧']","['vô', 'dĩ', 'dị', 'ư', 'trưởng', 'nhân', 'chi', 'trưởng', 'dư']"
21,2,旦謂長者義乎,"[(267, 62), (302, 328)]",thả vị trưởng giả nghĩa hồ,Thả Vị Trưởng Giả Nghĩa Hồ,"['旦', '謂', '長', '者', '義', '乎']","['thả', 'vị', 'trưởng', 'giả', 'nghĩa', 'hồ']"
21,3,長之者義乎,"[(223, 59), (256, 274)]",trưởng chi giả nghĩa hồ,Trưởng Chi Giả Nghĩa Hồ,"['長', '之', '者', '義', '乎']","['trưởng', 'chi', 'giả', 'nghĩa', 'hồ']"
21,4,曰吾弟則愛之,"[(177, 63), (212, 313)]",viết ngô đệ tắc ái chi,Viết Ngô Đệ Tắc Ái Chi,"['曰', '吾', '弟', '則', '愛', '之']","['viết', 'ngô', 'đệ', 'tắc', 'ái', 'chi']"
21,5,秦人之弟則不愛也,"[(135, 59), (165, 401)]",tần nhân chi đệ tắc bất ái dã,Tần Nhân Chi Đệ Tắc Bất Ái Dã,"['秦', '人', '之', '弟', '則', '不', '愛', '也']","['tần', 'nhân', 'chi', 'đệ', 'tắc', 'bất', 'ái', 'dã']"
21,6,是以我爲悅者也,"[(89, 58), (122, 359)]",thị dĩ ngã vi duyệt giả dã,Thị Dĩ Ngã Vi Duyệt Giả Dã,"['是', '以', '我', '爲', '悅', '者', '也']","['thị', 'dĩ', 'ngã', 'vi', 'duyệt', 'giả', 'dã']"
21,7,故謂之内,"[(44, 59), (79, 228)]",cố vị chi nội,Cố Vị Chi Nội,"['故', '謂', '之', '内']","['cố', 'vị', 'chi', 'nội']"
23,0,長楚人之長,"[(357, 58), (391, 273)]",trưởng sở nhân chi trưởng,Trưởng Sở Nhân Chi Trưởng,"['長', '楚', '人', '之', '長']","['trưởng', 'sở', 'nhân', 'chi', 'trưởng']"
23,1,亦長吾之長,"[(312, 58), (346, 271)]",diệc trưởng ngô chi trưởng,Diệc Trưởng Ngô Chi Trưởng,"['亦', '長', '吾', '之', '長']","['diệc', 'trưởng', 'ngô', 'chi', 'trưởng']"
23,2,是以長爲脱者也,"[(269, 59), (302, 358)]",thị dĩ trưởng vi duyệt giả dã,Thị Dĩ Trưởng Vi Duyệt Giả Dã,"['是', '以', '長', '爲', '脱', '者', '也']","['thị', 'dĩ', 'trưởng', 'vi', 'duyệt', 'giả', 'dã']"
23,3,故謂之外也,"[(222, 60), (256, 271)]",cố vị chi ngoại dã,Cố Vị Chi Ngoại Dã,"['故', '謂', '之', '外', '也']","['cố', 'vị', 'chi', 'ngoại', 'dã']"
23,4,曰啫秦人之多,"[(177, 62), (213, 320)]",viết thị tần nhân chi chá,Viết Thị Tần Nhân Chi Chá,"['曰', '啫', '秦', '人', '之', '多']","['viết', 'thị', 'tần', 'nhân', 'chi', 'chá']"
23,5,無以異於嗜吾多,"[(132, 59), (167, 363)]",vô dĩ di ư thị ngô chá,Vô Dĩ Di Ư Thị Ngô Chá,"['無', '以', '異', '於', '嗜', '吾', '多']","['vô', 'dĩ', 'di', 'ư', 'thị', 'ngô', 'chá']"
23,6,夫物則亦有然者也,"[(90, 60), (120, 403)]",phù vật tắc diệc hữu nhiên giả dã,Phù Vật Tắc Diệc Hữu Nhiên Giả Dã,"['夫', '物', '則', '亦', '有', '然', '者', '也']","['phù', 'vật', 'tắc', 'diệc', 'hữu', 'nhiên', 'giả', 'dã']"
23,7,然則嗜災亦有外與,"[(44, 57), (80, 409)]",nhiên tắc thị chá diệc hữu ngoại dư,Nhiên Tắc Thị Chá Diệc Hữu Ngoại Dư,"['然', '則', '嗜', '災', '亦', '有', '外', '與']","['nhiên', 'tắc', 'thị', 'chá', 'diệc', 'hữu', 'ngoại', 'dư']"
25,0,孟李子問公都子曰,"[(354, 71), (393, 415)]",mạnh quý tử vấn công đô tử viết,5 Mạnh Quý Tử Vấn Công Đô Tử Viết,"['孟', '李', '子', '問', '公', '都', '子', '曰']","['mạnh', 'quý', 'tử', 'vấn', 'công', 'đô', 'tử', 'viết']"
25,1,何以調義呐尼,"[(309, 63), (349, 328)]",khả dĩ vị nghĩa nội dã,Khả Dĩ Vị Nghĩa Nội Dã,"['何', '以', '調', '義', '呐', '尼']","['khả', 'dĩ', 'vị', 'nghĩa', 'nội', 'dã']"
25,2,曰行吾敬,"[(267, 72), (301, 241)]",viết hành ngô kính,Viết Hành Ngô Kính,"['曰', '行', '吾', '敬']","['viết', 'hành', 'ngô', 'kính']"
25,3,故謂之凶也,"[(219, 68), (259, 283)]",cố vị chi nội dã,Cố Vị Chi Nội Dã,"['故', '謂', '之', '凶', '也']","['cố', 'vị', 'chi', 'nội', 'dã']"
25,4,鄕人長於伯兄一歲,"[(178, 71), (214, 426)]",hương nhân trưởng ư bá huynh nhất tuế,Hương Nhân Trưởng Ư Bá Huynh Nhất Tuế,"['鄕', '人', '長', '於', '伯', '兄', '一', '歲']","['hương', 'nhân', 'trưởng', 'ư', 'bá', 'huynh', 'nhất', 'tuế']"
25,5,則誰敬,"[(130, 66), (171, 196)]",tắc thùy kính,Tắc Thùy Kính,"['則', '誰', '敬']","['tắc', 'thùy', 'kính']"
25,6,曰敬兄,"[(87, 70), (126, 210)]",viết kính huynh,Viết Kính Huynh,"['曰', '敬', '兄']","['viết', 'kính', 'huynh']"
25,7,酌則誰先,"[(44, 70), (80, 239)]",chước tắc thùy tiên,Chước Tắc Thùy Tiên,"['酌', '則', '誰', '先']","['chước', 'tắc', 'thùy', 'tiên']"
27,0,旦先酌鄕人,"[(346, 57), (394, 286)]",viết tiên chước hương nhân,Viết Tiên Chước Hương Nhân,"['旦', '先', '酌', '鄕', '人']","['viết', 'tiên', 'chước', 'hương', 'nhân']"
27,1,所敬在此所長在彼,"[(300, 54), (354, 457)]",sở kính tại thử sở trưởng tại bỉ,Sở Kính Tại Thử Sở Trưởng Tại Bỉ,"['所', '敬', '在', '此', '所', '長', '在', '彼']","['sở', 'kính', 'tại', 'thử', 'sở', 'trưởng', 'tại', 'bỉ']"
27,2,果在外非由呐也,"[(263, 55), (303, 403)]",quả tại ngoại phi do nội dã,Quả Tại Ngoại Phi Do Nội Dã,"['果', '在', '外', '非', '由', '呐', '也']","['quả', 'tại', 'ngoại', 'phi', 'do', 'nội', 'dã']"
27,3,公都子不能答,"[(218, 55), (256, 316)]",công đô tử bất năng đáp,Công Đô Tử Bất Năng Đáp,"['公', '都', '子', '不', '能', '答']","['công', 'đô', 'tử', 'bất', 'năng', 'đáp']"
27,4,以告孟子,"[(179, 61), (212, 225)]",dĩ cáo mạnh tử,Dĩ Cáo Mạnh Tử,"['以', '告', '孟', '子']","['dĩ', 'cáo', 'mạnh', 'tử']"
27,5,孟子曰,"[(130, 55), (171, 184)]",mạnh tử viết,Mạnh Tử Viết,"['孟', '子', '曰']","['mạnh', 'tử', 'viết']"
27,6,敬叔父乎,"[(84, 54), (125, 232)]",kính thúc phụ hồ,Kính Thúc Phụ Hồ,"['敬', '叔', '父', '乎']","['kính', 'thúc', 'phụ', 'hồ']"
27,7,敬弟乎,"[(44, 56), (79, 183)]",kính đệ hồ,Kính Đệ Hồ,"['敬', '弟', '乎']","['kính', 'đệ', 'hồ']"
29,0,彼將曰敬叔父,"[(349, 52), (394, 368)]",bỉ tương viết kính thúc phụ,Bỉ Tương Viết Kính Thúc Phụ,"['彼', '將', '曰', '敬', '叔', '父']","['bỉ', 'tương', 'viết', 'kính', 'thúc', 'phụ']"
29,1,日弟爲尸則誰敬,"[(306, 61), (349, 415)]",viết đệ vi thi tắc thùy kính,Viết Đệ Vi Thi Tắc Thùy Kính,"['日', '弟', '爲', '尸', '則', '誰', '敬']","['viết', 'đệ', 'vi', 'thi', 'tắc', 'thùy', 'kính']"
29,2,彼將曰敬弟,"[(260, 54), (306, 328)]",bỉ tương viết kính đệ,Bỉ Tương Viết Kính Đệ,"['彼', '將', '曰', '敬', '弟']","['bỉ', 'tương', 'viết', 'kính', 'đệ']"
29,3,子曰,"[(219, 55), (260, 136)]",tử viết,Tử Viết,"['子', '曰']","['tử', 'viết']"
29,4,惡在其敬叔父也,"[(177, 59), (213, 366)]",ô tại kỳ kính thúc phụ dã,Ô Tại Kỳ Kính Thúc Phụ Dã,"['惡', '在', '其', '敬', '叔', '父', '也']","['ô', 'tại', 'kỳ', 'kính', 'thúc', 'phụ', 'dã']"
29,5,彼將曰在位故也,"[(126, 54), (172, 404)]",bỉ tương viết tại vị cố dã,Bỉ Tương Viết Tại Vị Cố Dã,"['彼', '將', '曰', '在', '位', '故', '也']","['bỉ', 'tương', 'viết', 'tại', 'vị', 'cố', 'dã']"
29,6,子亦曰在位故也,"[(82, 54), (127, 408)]",tử diệc viết tại vị cố dã,Tử Diệc Viết Tại Vị Cố Dã,"['子', '亦', '曰', '在', '位', '故', '也']","['tử', 'diệc', 'viết', 'tại', 'vị', 'cố', 'dã']"
29,7,庸敬在兄,"[(44, 57), (74, 234)]",dung kính tại huynh,Dung Kính Tại Huynh,"['庸', '敬', '在', '兄']","['dung', 'kính', 'tại', 'huynh']"
31,0,斯須之敬在鄕人,"[(351, 57), (393, 372)]",tư tu chi kính tại hương nhân,Tư Tu Chi Kính Tại Hương Nhân,"['斯', '須', '之', '敬', '在', '鄕', '人']","['tư', 'tu', 'chi', 'kính', 'tại', 'hương', 'nhân']"
31,1,李子󰘇之同,"[(313, 62), (345, 269)]",quý tử văn chi viết,Quý Tử Văn Chi Viết,"['李', '子', '\U000f0607', '之', '同']","['quý', 'tử', 'văn', 'chi', 'viết']"
31,2,敬叔父則敬,"[(263, 61), (304, 274)]",kính thúc phụ tắc kính,Kính Thúc Phụ Tắc Kính,"['敬', '叔', '父', '則', '敬']","['kính', 'thúc', 'phụ', 'tắc', 'kính']"
31,3,敬弟則敬,"[(217, 59), (258, 234)]",kính đệ tắc kính,Kính Đệ Tắc Kính,"['敬', '弟', '則', '敬']","['kính', 'đệ', 'tắc', 'kính']"
31,4,果在外非由呐也,"[(175, 59), (216, 411)]",quá tại ngoại phi do nội dã,Quá Tại Ngoại Phi Do Nội Dã,"['果', '在', '外', '非', '由', '呐', '也']","['quá', 'tại', 'ngoại', 'phi', 'do', 'nội', 'dã']"
31,5,公都子曰,"[(130, 58), (171, 232)]",công đô tử viết,Công Đô Tử Viết,"['公', '都', '子', '曰']","['công', 'đô', 'tử', 'viết']"
31,6,冬日則飲湯,"[(86, 58), (123, 278)]",đông nhật tắc ẩm thang,Đông Nhật Tắc Ẩm Thang,"['冬', '日', '則', '飲', '湯']","['đông', 'nhật', 'tắc', 'ẩm', 'thang']"
31,7,夏日則水,"[(46, 61), (76, 276)]",hạ nhật tắc ẩm thủy,Hạ Nhật Tắc Ẩm Thủy,"['夏', '日', '則', '水']","['hạ', 'nhật', 'tắc', 'ẩm', 'thủy']"
33,0,然則歆食永在外也,"[(351, 59), (393, 413)]",nhiên tắc ẩm thực diệc tại ngoại dã,Nhiên Tắc Ẩm Thực Diệc Tại Ngoại Dã,"['然', '則', '歆', '食', '永', '在', '外', '也']","['nhiên', 'tắc', 'ẩm', 'thực', 'diệc', 'tại', 'ngoại', 'dã']"
33,1,公都子曰,"[(309, 64), (350, 234)]",công đô tử viết,6 Công Đô Tử Viết,"['公', '都', '子', '曰']","['công', 'đô', 'tử', 'viết']"
33,2,告子曰,"[(263, 61), (305, 193)]",cáo tử viết,Cáo Tử Viết,"['告', '子', '曰']","['cáo', 'tử', 'viết']"
33,3,性無善無不善也,"[(218, 64), (257, 366)]",tính vô thiện vô bất thiện dã,Tính Vô Thiện Vô Bất Thiện Dã,"['性', '無', '善', '無', '不', '善', '也']","['tính', 'vô', 'thiện', 'vô', 'bất', 'thiện', 'dã']"
33,4,或曰,"[(176, 62), (217, 145)]",hoặc viết,Hoặc Viết,"['或', '曰']","['hoặc', 'viết']"
33,5,性呵以爲善,"[(132, 65), (169, 281)]",tính khả dĩ vi thiện,Tính Khả Dĩ Vi Thiện,"['性', '呵', '以', '爲', '善']","['tính', 'khả', 'dĩ', 'vi', 'thiện']"
