Page,Column,Transcription
23,4,曰 嗜 秦 人 之 炙 ，
23,5,無 以 異 於 嗜 吾 炙 。
23,6,夫 物 則 亦 有 然 者 也 。
23,7,然 則 嗜 炙 亦 有 外 與 ？
25,0,孟 季 子 問 公 都 子 曰 ：
25,1,何 以 謂 義 內 也 ？
25,2,曰 行 吾 敬 ，
25,3,故 謂 之 內 也 。
25,4,鄉 人 長 於 伯 兄 一 歲 ，
25,5,則 誰 敬 ？
25,6,曰 敬 兄 。
25,7,酌 則 誰 先 ？
27,0,曰 先 酌 鄉 人 。
27,1,所 敬 在 此 ， 所 長 在 彼 ，
27,2,果 在 外 ， 非 由 內 也 。
27,3,公 都 子 不 能 答 ，
27,4,以 告 孟 子 。
27,5,孟 子 曰 ：
27,6,敬 叔 父 乎 ？
27,7,敬 弟 乎 ？
29,0,彼 將 曰 ： 敬 叔 父 。
29,1,曰 弟 為 尸 ， 則 誰 敬 ？
29,2,彼 將 曰 ： 敬 弟 。
29,3,子 曰 ：
29,4,惡 在 其 敬 叔 父 也 ？
29,5,彼 將 曰 ： 在 位 故 也 。
29,6,子 亦 曰 ： 在 位 故 也 。
29,7,庸 敬 在 兄 ，
31,0,斯 須 之 敬 在 鄉 人 。
31,1,季 子 聞 之 曰 ：
31,2,敬 叔 父 則 敬 ，
31,3,敬 弟 則 敬 ，
31,4,果 在 外 ， 非 由 內 也 。
31,5,公 都 子 曰 ：
31,6,冬 日 則 飲 湯 ，
31,7,夏 日 則 飲 水 ，
33,0,然 則 飲 食 亦 在 外 也 。
33,1,公 都 子 曰 ：
33,2,告 子 曰 ：
33,3,性 無 善 無 不 善 也 。
33,4,或 曰 ：
33,5,性 可 以 為 善 ，
33,6,可 以 為 不 善 ，
33,7,是 故 文 武 興 則 民 好 善 ，
35,0,幽 厲 興 則 民 好 暴 。
35,1,或 曰 ：
35,2,有 性 善 ， 有 性 不 善 ，
35,3,是 故 以 堯 為 君 而 有 象 ，
35,4,以 瞽 瞍 為 父 而 有 舜 ，
35,5,以 紂 為 兄 之 子 且 以 為 君 ，
35,6,而 有 微 子 啟 ，
35,7,王 子 比 干 。
37,0,今 曰 性 善 ，
37,1,然 則 彼 皆 非 與 ？
37,2,孟 子 曰 ：
37,3,乃 若 其 情 則 可 以 為 善 矣 ，
37,4,乃 所 謂 善 也 。
37,5,若 夫 為 不 善 ，
37,6,非 才 之 罪 也 。
37,7,惻 隱 之 心 ， 人 皆 有 之 ；
39,0,羞 惡 之 心 ， 人 皆 有 之 ；
39,1,恭 敬 之 心 ， 人 皆 有 之 ；
39,2,是 非 之 心 ， 人 皆 有 之 。
39,3,惻 隱 之 心 ， 仁 也 ；
39,4,羞 惡 之 心 ， 義 也 ；
39,5,恭 敬 之 心 ， 禮 也 ；
39,6,是 非 之 心 ， 智 也 。
39,7,仁 義 禮 智 ，
41,0,非 由 外 鑠 我 也 ，
41,1,我 固 有 之 也 ，
41,2,弗 思 耳 矣 。
41,3,故 曰 ：
41,4,求 則 得 之 ， 舍 則 失 之 。
41,5,或 相 倍 蓰 而 無 算 者 ，
41,6,不 能 盡 其 才 者 也 。
41,7,詩 曰 ：
43,0,天 生 蒸 民 ， 有 物 有 則 。
43,1,民 之 秉 彝 ， 好 是 懿 德 。
43,2,孔 子 曰 ：
43,3,為 此 詩 者 ，
43,4,其 知 道 乎 ！
43,5,故 有 物 必 有 則 ，
43,6,民 之 秉 彝 也 ，
43,7,故 好 是 懿 德 。
45,0,孟 子 曰 ：
45,1,富 歲 ， 子 弟 多 賴 ；
45,2,兇 歲 ， 子 弟 多 暴 。
45,3,非 天 之 降 才 爾 殊 也 ，
45,4,其 所 以 陷 溺 其 心 者 然 也
45,5,今 夫 麰 麥 ，
45,6,播 種 而 耘 之 ，
45,7,其 地 同 ， 樹 之 時 又 同 ，
47,0,浡 然 而 生 ，
47,1,至 於 日 至 之 時 ，
47,2,皆 熟 矣 。
47,3,雖 有 不 同 ，
47,4,則 地 有 肥 磽 ，
47,5,雨 露 之 養 ，
47,6,人 事 之 不 齊 也 。
47,7,故 凡 同 類 者 ，
49,0,舉 相 似 也 ，
49,1,何 獨 至 於 人 而 疑 之 ？
49,2,聖 人 與 我 同 類 者 。
49,3,故 龍 子 曰 ：
49,4,不 知 足 而 為 屨 ，
49,5,我 知 其 不 為 蕢 也 。
49,6,屨 之 相 似 ，
49,7,天 下 之 足 同 也 。
51,0,口 之 於 味 ， 有 同 嗜 也 ，
51,1,易 牙 先 得 我 口
51,2,之 所 嗜 者 也 。
51,3,如 使 口 之 於 味 也 ，
51,4,其 性 與 人 殊 ，
51,5,若 犬 馬 之 與 我 不 同 類 也
51,6,則 天 下 何 嗜 皆 從
51,7,易 牙 之 於 味 也 ？
53,0,至 於 味 ，
53,1,天 下 期 於 易 牙 ，
53,2,是 天 下 之 口 相 似 也 。
53,3,惟 耳 亦 然 ， 至 於 聲 ，
53,4,天 下 期 於 師 曠 ，
53,5,是 天 下 之 耳 相 似 也 。
53,6,惟 目 亦 然 ， 至 於 子 都 ，
53,7,天 下 莫 不 知 其 姣 也 ；
55,0,不 知 子 都 之 姣 者 ，
55,1,無 目 者 也 。
55,2,故 曰 ：
55,3,口 之 於 味 也 ，
55,4,有 同 嗜 焉 ；
55,5,耳 之 於 聲 也 ，
55,6,有 同 聽 焉 ；
55,7,目 之 於 色 也 ，
57,0,有 同 美 焉 。
57,1,至 於 心 ，
57,2,獨 無 所 同 然 乎 ？
57,3,心 之 所 同 然 者 ，
57,4,何 也 ？
57,5,謂 理 也 ， 義 也 。
57,6,聖 人 先 得 我 心
57,7,之 所 同 然 耳 。
59,0,故 理 義 之 悅 我 心 ，
59,1,猶 芻 豢 之 悅 我 口 。
59,2,孟 子 曰 ：
59,3,牛 山 之 木 嘗 美 矣 。
59,4,以 其 郊 於 大 國 也 ，
59,5,斧 斤 伐 之 ，
59,6,可 以 為 美 乎 ？
59,7,是 其 日 夜 之 所 息 ，
61,0,雨 露 之 所 潤 ，
61,1,非 無 萌 蘗 之 生 焉 ，
61,2,牛 羊 又 從 而 牧 之 ，
61,3,是 以 若 彼 濯 濯 也 。
61,4,人 見 其 濯 濯 也 ，
61,5,以 為 未 嘗 有 材 焉 ，
61,6,此 豈 山 之 性 也 哉 ？
61,7,雖 存 乎 人 者 ，
63,0,豈 無 仁 義 之 心 哉 ？
63,1,其 所 以 放 其 良 心 者 ，
63,2,亦 猶 斧 斤 之 於 木 也 。
63,3,旦 旦 而 伐 之 ，
63,4,可 以 為 美 乎 ？
63,5,其 日 夜 之 所 息 ，
63,6,平 旦 之 氣 ，
63,7,其 好 惡 與 人 相 近 也
65,0,者 幾 希 ，
65,1,則 其 旦 晝 之 所 為 ，
65,2,有 梏 亡 之 矣 。
65,3,梏 之 反 覆 ，
65,4,則 其 夜 氣 不 足 以 存 。
65,5,夜 氣 不 足 以 存 ，
65,6,則 其 違 禽 獸 不 遠 矣 。
65,7,人 見 其 禽 獸 也 ，
67,0,而 以 為 未 嘗 有 才 焉 者 ，
67,1,是 豈 人 之 情 也 哉 ？
67,2,故 茍 得 其 養 ，
67,3,無 物 不 長 ；
67,4,茍 失 其 養 ，
67,5,無 物 不 消 。
67,6,孔 子 曰 ：
67,7,操 則 存 ， 舍 則 亡 。
69,0,出 入 無 時 ，
69,1,莫 知 其 鄉 。
69,2,惟 心 之 謂 與 ！
69,3,孟 子 曰 ：
69,4,無 或 乎 王 之 不 智 也 。
69,5,雖 有 天 下 易 生 之 物 也 ，
69,6,一 日 暴 之 ， 十 日 寒 之 ，
69,7,未 有 能 生 者 也 。
71,0,吾 見 亦 罕 矣 ，
71,1,吾 退 而 寒 之 者 至 矣 ，
71,2,吾 如 有 萌 焉 何 哉 ！
71,3,今 夫 弈 之 為 數 ，
71,4,小 數 也 ；
71,5,不 專 心 致 志 ，
71,6,則 不 得 也 。
71,7,弈 秋 ，
73,0,通 國 之 善 弈 者 也 。
73,1,使 弈 秋 誨 二 人 弈 ：
73,2,其 一 人 專 心 致 志 ，
73,3,惟 弈 秋 之 為 聽 ；
73,4,一 人 雖 聽 之 ，
73,5,一 心 以 為 有 鴻 鵠 將 至 ，
73,6,思 援 弓 繳 而 射 之 。
73,7,雖 與 之 俱 學 ，
75,0,弗 若 之 矣 。
75,1,為 是 其 智 弗 若 與 ？
75,2,曰 非 然 也 。
75,3,孟 子 曰 ：
75,4,魚 我 所 欲 也 ；
75,5,熊 掌 亦 我 所 欲 也 。
75,6,二 者 不 可 得 兼 ，
75,7,舍 魚 而 取 熊 掌 者 也 。
77,0,生 亦 我 所 欲 也 ；
77,1,義 亦 我 所 欲 也 。
77,2,二 者 不 可 得 兼 ，
77,3,舍 生 而 取 義 者 也 。
77,4,生 亦 我 所 欲 ，
77,5,所 欲 有 甚 於 生 者 ，
77,6,故 不 為 茍 得 也 。
77,7,死 亦 我 所 惡 ，
79,0,所 惡 有 甚 於 死 者 ，
79,1,故 患 有 所 不 辟 也 。
79,2,如 使 人 之 所 欲 莫 甚 於 生 ，
79,3,則 凡 可 以 得 生 者 ，
79,4,何 不 用 也 ？
79,5,使 人 之 所 惡 莫 甚 於 死 者 ，
79,6,則 凡 可 以 辟 患 者 ，
79,7,何 不 為 也 ？
81,0,由 是 則 生 而 有 不 用 也 ，
81,1,由 是 則 可 以 辟 患
81,2,而 有 不 為 也 。
81,3,是 故 所 欲 有 甚 於 生 者 ，
81,4,所 惡 有 甚 於 死 者 ，
81,5,非 獨 賢 者 有 是 心 也 ，
81,6,人 皆 有 之 ，
81,7,賢 者 能 勿 喪 耳 。
83,0,一 簞 食 ， 一 豆 羹 ，
83,1,得 之 則 生 ， 弗 得 則 死 。
83,2,嘑 爾 而 與 之 ，
83,3,行 道 之 人 弗 受 ；
83,4,蹴 爾 而 與 之 ，
83,5,乞 人 不 屑 也 。
83,6,萬 鍾 則 不 辨 禮 義 而 受 之
83,7,萬 鍾 於 我 何 加 焉 ？
85,0,為 宮 室 之 美 ，
85,1,妻 妾 之 奉 ，
85,2,所 識 窮 乏 者 得 我 與 ？
85,3,鄉 為 身 死 而 不 受 ，
85,4,今 為 宮 室 之 美 為 之 ；
85,5,鄉 為 身 死 而 不 受 ，
85,6,今 為 妻 妾 之 奉 為 之 ；
85,7,鄉 為 身 死 而 不 受 ，
87,0,今 為 所 識 窮 乏 者
87,1,得 我 而 為 之 ？
87,2,是 亦 不 可 以 已 乎 ？
87,3,此 之 謂 失 其 本 心 。
87,4,孟 子 曰 ：
87,5,仁 ， 人 心 也 。
87,6,義 ， 人 路 也 。
87,7,舍 其 路 而 弗 由 ，
89,0,放 其 心 而 不 知 求 ，
89,1,哀 哉 ！
89,2,人 有 雞 犬 放 ，
89,3,則 知 求 之 ，
89,4,有 放 心 ，
89,5,而 不 知 求 。
89,6,學 問 之 道 無 他 ，
89,7,求 其 放 心 而 已 矣 。
91,0,孟 子 曰 ：
91,1,今 有 無 名 之 指 ，
91,2,屈 而 不 信 ，
91,3,非 疾 痛 害 事 也 。
91,4,如 有 能 伸 之 者 ，
91,5,則 不 遠 秦 楚 之 路 ，
91,6,為 指 之 不 若 人 也 。
91,7,指 不 若 人 ， 則 知 惡 之 ；
93,0,心 不 若 人 ， 則 不 知 惡 。
93,1,此 之 謂 不 知 類 也 。
93,2,孟 子 曰 ：
93,3,拱 把 之 桐 梓 ，
93,4,人 茍 欲 生 之 ，
93,5,皆 知 所 以 養 之 者 。
93,6,至 於 身 ，
93,7,而 不 知 所 以 養 之 者 ，
95,0,豈 愛 身 不 若 桐 ，
95,1,梓 哉 ？
95,2,弗 思 甚 也 。
95,3,孟 子 曰 ：
95,4,人 之 於 身 也 ，
95,5,兼 所 愛 ；
95,6,兼 所 愛 則 兼 所 養 也 。
95,7,無 尺 寸 之 膚 不 愛 焉 ，
97,0,則 無 尺 寸 之 膚 不 養 也 。
97,1,所 以 考 其 善 不 善 者 ，
97,2,豈 有 他 哉 ？
97,3,於 己 取 之 而 已 矣 。
97,4,體 有 貴 賤 ， 有 小 大 。
97,5,無 以 小 害 大 ，
97,6,無 以 賤 害 貴 。
97,7,養 其 小 者 為 小 人 。
99,0,養 其 大 者 為 大 人 。
99,1,今 有 場 師 ，
99,2,舍 其 梧 槚 ，
99,3,養 其 樲 棘 ，
99,4,則 為 賤 場 師 焉 。
99,5,養 其 一 指 ，
99,6,而 失 其 肩 背 ，
99,7,而 不 知 也 ，
101,0,則 為 狼 疾 人 也 。
101,1,飲 食 之 人 ，
101,2,則 人 賤 之 矣 ，
101,3,為 其 養 小 以 失 大 也 。
101,4,飲 食 之 人 ，
101,5,無 有 失 也 ，
101,6,則 口 腹
101,7,豈 適 為 尺 寸 之 膚 哉 ？
103,0,公 都 子 問 曰 ：
103,1,鈞 是 人 也 ， 或 為 大 人 ，
103,2,或 為 小 人 ， 何 也 ？
103,3,孟 子 曰 ：
103,4,從 其 大 體 為 大 人 ，
103,5,從 其 小 體 為 小 人 。
103,6,曰 鈞 是 人 也 ，
103,7,或 從 其 大 體 ，
105,0,或 從 其 小 體 ，
105,1,何 也 ？
105,2,曰 耳 目 之 官 不 思 ，
105,3,而 蔽 於 物 。
105,4,物 交 物 ，
105,5,則 引 之 而 已 矣 。
105,6,心 之 官 則 思 ；
105,7,思 則 得 之 ，
107,0,不 思 則 不 得 也 。
107,1,此 天 之 所 與 我 者 ，
107,2,先 立 乎 其 大 者 ，
107,3,則 其 小 者 不 能 奪 也 。
107,4,此 為 大 人 而 已 矣 。
107,5,孟 子 曰 ：
107,6,有 天 爵 者 ， 有 人 爵 者 。
107,7,仁 義 忠 信 ， 樂 善 不 倦 ，
109,0,此 天 爵 也 。
109,1,公 卿 大 夫 ，
109,2,此 人 爵 也 。
109,3,古 之 人 ，
109,4,修 其 天 爵 而 人 爵 從 之 。
109,5,今 之 人 ，
109,6,修 其 天 爵 以 要 人 爵 。
109,7,既 得 人 爵 而 棄 其 天 爵 ，
111,0,則 惑 之 甚 者 也 ，
111,1,終 亦 必 亡 而 已 矣 。
111,2,孟 子 曰 ：
111,3,欲 貴 者 ，
111,4,人 之 同 心 也 。
111,5,人 人 有 貴 於 己 者 ，
111,6,弗 思 耳 矣 。
111,7,人 之 所 貴 者 ，
113,0,非 良 貴 也 。
113,1,趙 孟 之 所 貴 ，
113,2,趙 孟 能 賤 之 。
113,3,詩 云 ：
113,4,既 醉 以 酒 ， 既 飽 以 德 。
113,5,言 飽 乎 仁 義 也 ，
113,6,所 以 不 愿 人 之
113,7,膏 粱 之 味 也 。
115,0,令 聞 廣 譽 施 於 身 ，
115,1,所 以 不 愿 人 之 文 繡 也 。
115,2,孟 子 曰 ：
115,3,仁 之 勝 不 仁 也 ，
115,4,猶 水 之 勝 火 。
115,5,今 之 為 仁 者 ，
115,6,猶 以 一 杯 水
115,7,救 一 車 薪 之 火 也 。
117,0,不 熄 ，
117,1,則 謂 之 水 不 勝 火 。
117,2,此 又 與 於 不 仁 之 甚 者 也 ，
117,3,亦 終 必 亡 而 已 矣 。
117,4,孟 子 曰 ：
117,5,五 穀 者 ，
117,6,種 之 美 者 也 。
117,7,茍 為 不 熟 ， 不 如 荑 稗 。
119,0,夫 仁 亦 在 乎 熟 之 而 已 矣 。
119,1,孟 子 曰 ：
119,2,羿 之 教 人 射 ，
119,3,必 志 於 彀 ；
119,4,學 者 亦 必 志 於 彀 。
119,5,大 匠 誨 人 ， 必 以 規 矩 ；
119,6,學 者 亦 必 以 規 矩 。
121,0,第 十 二 章 告 子 下
121,1,任 人 有 問 屋 廬 子 曰 ：
121,2,禮 與 食 孰 重 ？
121,3,曰 禮 重 。
121,4,色 與 禮 孰 重 ？
121,5,曰 禮 重 。
121,6,曰 以 禮 食 則 饑 而 死 ，
121,7,不 以 禮 食 則 得 食 ，
123,0,必 以 禮 乎 ？
123,1,親 迎 則 不 得 妻 ，
123,2,不 親 迎 則 得 妻 ，
123,3,必 親 迎 乎 ？
123,4,屋 廬 子 不 能 對 。
123,5,明 日 之 鄒 以 告 孟 子 。
123,6,孟 子 曰 ：
123,7,於 答 是 也 何 有 ？
125,0,不 揣 其 本 ， 而 齊 其 末 ，
125,1,方 寸 之 木 可 使 高 於 岑 樓 。
125,2,金 重 於 羽 者 ，
125,3,豈 謂 一 鉤 金
125,4,與 一 輿 羽 之 謂 哉 ？
125,5,取 食 之 重 者
125,6,與 禮 之 輕 者
125,7,而 比 之 奚 翅 食 重 ？
127,0,取 色 之 重 者
127,1,與 禮 之 輕 者
127,2,而 比 之 奚 翅 色 重 ？
127,3,:
127,4,往 應 之 曰
127,5,紾 兄 之 臂 而 奪 之 食 ，
127,6,則 得 食 ，
127,7,不 紾 則 不 得 食 ，
127,8,則 將 紾 之 乎 ？
129,0,踰 東 家 牆 而 摟 其 處 子 ，
129,1,則 得 妻 ，
129,2,不 摟 則 不 得 妻 ，
129,3,則 將 摟 之 乎 ？
129,4,曹 交 問 曰 ：
129,5,人 皆 可 以 為 堯 舜 ，
129,6,有 諸 ？
129,7,孟 子 曰 ： 然 。
131,0,交 聞 文 王 十 尺 ，
131,1,湯 九 尺 ；
131,2,今 交 九 尺 四 寸 以 長 。
131,3,食 粟 而 已 ，
131,4,如 何 則 可 ？
131,5,曰 奚 有 於 是 ？
131,6,亦 為 之 而 已 矣 。
131,7,有 人 於 此 ，
133,0,力 不 能 勝 一 匹 雛 ，
133,1,則 為 無 力 人 矣 。
133,2,今 曰 舉 百 鈞 ，
133,3,則 為 有 力 人 矣 。
133,4,然 則 舉 烏 獲 之 任 ，
133,5,是 亦 為 烏 獲 而 已 矣 。
133,6,夫 人 豈 以 不 勝 為 患 哉 ？
133,7,弗 為 耳 。
135,0,徐 行 後 長 者 ，
135,1,謂 之 弟 ；
135,2,疾 行 先 長 者 ，
135,3,謂 之 不 弟 。
135,4,夫 徐 行 者 ，
135,5,豈 人 所 不 能 哉 ？
135,6,所 不 為 也 。
135,7,堯 舜 之 道 ，
137,0,孝 弟 而 已 矣 。
137,1,子 服 堯 之 服 ，
137,2,誦 堯 之 言 ， 行 堯 之 行 ，
137,3,是 堯 而 已 矣 。
137,4,子 服 桀 之 服 ，
137,5,誦 桀 之 言 ， 行 桀 之 行 ，
137,6,是 桀 而 已 矣 。
137,7,曰 交 得 見 於 鄒 君 ，
139,0,可 以 假 館 ，
139,1,愿 留 而 受 業 於 門 。
139,2,曰 夫 道 若 大 路 然 ，
139,3,豈 難 知 哉 ？
139,4,人 病 不 求 耳 。
139,5,子 歸 而 求 之 ，
139,6,有 餘 師 。
139,7,公 孫 丑 問 曰 ：
141,0,高 子 曰 ：
141,1,小 弁 ， 小 人 之 詩 也 。
141,2,孟 子 曰 ：
141,3,何 以 言 之 ？
141,4,曰 怨 。
141,5,曰 固 哉 ，
141,6,高 叟 之 為 詩 也 ！
141,7,有 人 於 此 ，
143,0,越 人 關 弓 而 射 之 ，
143,1,則 己 談 笑 而 道 之 ；
143,2,無 他 疏 之 也 。
143,3,其 兄 關 弓 而 射 之 ，
143,4,則 己 垂 涕 泣 而 道 之 ，
143,5,無 他 戚 之 也 。
143,6,小 弁 之 怨 ， 親 親 也 。
143,7,親 親 仁 也 。
145,0,固 矣 夫 ，
145,1,高 叟 之 為 詩 也 ！
145,2,曰 凱 風 何 以 不 怨 ？
145,3,曰 凱 風 ，
145,4,親 之 過 小 者 也 ；
145,5,小 弁 ， 親 之 過 大 者 也 。
145,6,親 之 過 大 而 不 怨 ，
145,7,是 愈 疏 也 。
147,0,親 之 過 小 而 怨 ，
147,1,是 不 可 磯 也 。
147,2,愈 疏 ， 不 孝 也 ；
147,3,不 可 磯 ， 亦 不 孝 也 。
147,4,孔 子 曰 ：
147,5,舜 其 至 孝 矣 ，
147,6,五 十 而 慕 。
147,7,宋 牼 將 之 楚 ，
149,0,孟 子 遇 於 石 丘 ，
149,1,曰 先 生 將 何 之 ？
149,2,曰 吾 聞 秦 楚 構 兵 ，
149,3,我 將 見 楚 王 ，
149,4,說 而 罷 之 ；
149,5,楚 王 不 悅 ，
149,6,我 將 見 秦 王 ，
149,7,說 而 罷 之 。
151,0,二 王 我 將 有 所 遇 焉 。
151,1,曰 軻 也 請 無 問 其 詳 ，
151,2,愿 聞 其 指 。
151,3,說 之 將 何 如 ？
151,4,曰 我 將 言 其 不 利 也 。
151,5,曰 先 生 之 志 則 大 矣 ，
151,6,先 生 之 號 則 不 可 。
151,7,先 生 以 利 說 秦 楚 之 王 ，
153,0,秦 楚 之 王 悅 於 利 ，
153,1,以 罷 三 軍 之 師 ；
153,2,是 三 軍 之 士 樂 罷
153,3,而 悅 於 利 也 。
153,4,為 人 臣 者 ，
153,5,懷 利 以 事 其 君 ，
153,6,為 人 子 者 ，
153,7,懷 利 以 事 其 父 ，
155,0,為 人 弟 者 ，
155,1,懷 利 以 事 其 兄 ，
155,2,是 君 臣 ，
155,3,父 子 ，
155,4,兄 弟 終 去 仁 義 ，
155,5,懷 利 以 相 接 ；
155,6,然 而 不 亡 者 ，
155,7,未 之 有 也 。
157,0,先 生 以 仁 義
157,1,說 秦 楚 之 王 ，
157,2,秦 楚 之 王 悅 於 仁 義 ，
157,3,以 罷 三 軍 之 師 ；
157,4,是 三 軍 之 士 樂 罷
157,5,而 悅 於 仁 義 也 。
157,6,為 人 臣 者 ，
157,7,懷 仁 義 以 事 其 君 ，
159,0,為 人 子 者 ，
159,1,懷 仁 義 以 事 其 父 ，
159,2,為 人 弟 者 ，
159,3,懷 仁 義 以 事 其 兄 ，
159,4,是 君 臣 ， 父 子 ，
159,5,兄 弟 去 利 ，
159,6,懷 仁 義 以 相 接 也 ；
159,7,然 而 不 王 者 ，
161,0,未 之 有 也 。
161,1,何 必 曰 利 ？
161,2,孟 子 居 鄒 ，
161,3,季 任 為 任 處 守 ，
161,4,以 幣 交 ， 受 之 而 不 報 。
161,5,處 於 平 陸 ，
161,6,儲 子 為 相 ，
161,7,以 幣 交 ， 受 之 而 不 報 。
163,0,他 日 由 鄒 之 任 ，
163,1,見 季 子 ，
163,2,由 平 陸 之 齊 ，
163,3,不 見 儲 子 。
163,4,屋 廬 子 喜 曰 ：
163,5,連 得 間 矣 。
163,6,問 曰 ：
163,7,夫 子 之 任 見 季 子 ，
165,0,之 齊 不 見 儲 子 ，
165,1,為 其 為 相 與 ？
165,2,曰 非 也 。
165,3,書 曰 ：
165,4,享 多 儀 ， 儀 不 及 物 ，
165,5,曰 不 享 。
165,6,惟 不 役 志 于 享 。
165,7,為 其 不 成 享 也 。
167,0,屋 廬 子 悅 。
167,1,或 問 之 ，
167,2,屋 廬 子 曰 ：
167,3,季 子 不 得 之 鄒 ，
167,4,儲 子 得 之 平 陸 。
167,5,淳 于 髡 曰 ：
167,6,先 名 實 者 ， 為 人 也 ；
167,7,後 名 實 者 ， 自 為 也 。
169,0,夫 子 在 三 卿 之 中 ，
169,1,名 實 未 加 於 上 下 而 去 之 ，
169,2,仁 者 固 如 此 乎 ？
169,3,孟 子 曰 ：
169,4,居 下 位 ，
169,5,不 以 賢 事 不 肖 者 ，
169,6,伯 夷 也 。
169,7,五 就 湯 ，
171,0,五 就 桀 者 ，
171,1,伊 尹 也 。
171,2,不 惡 污 君 ，
171,3,不 辭 小 官 者 ，
171,4,柳 下 惠 也 。
171,5,三 子 者 不 同 道 ，
171,6,其 趨 一 也 。
171,7,一 者 何 也 ？
173,0,曰 仁 也 。
173,1,君 子 亦 仁 而 已 矣 ，
173,2,何 必 同 ？
173,3,曰 魯 繆 公 之 時 ，
173,4,公 儀 子 為 政 ，
173,5,子 柳 ， 子 思 為 臣 ，
173,6,魯 之 削 也 滋 甚 。
173,7,若 是 乎 賢 者 之
175,0,無 益 於 國 也 。
175,1,曰 虞 不 用 百 里 奚 而 亡 ，
175,2,秦 繆 公 用 之 而 霸 。
175,3,不 用 賢 則 亡 ，
175,4,削 何 可 得 與 ？
175,5,曰 昔 者 ，
175,6,王 豹 處 於 淇 ，
175,7,而 河 西 善 謳 。
177,0,綿 駒 處 於 高 唐 ，
177,1,而 齊 右 善 歌 。
177,2,華 周 ， 杞 梁 之 妻 ，
177,3,善 哭 其 夫 ， 而 變 國 俗 。
177,4,有 諸 內 ， 必 形 諸 外 。
177,5,為 其 事 而 無 其 功 者 ，
177,6,髡 未 嘗 睹 之 也 。
177,7,是 故 無 賢 者 也 ；
179,0,有 則 髡 必 識 之 。
179,1,曰 孔 子 為 魯 司 寇 ，
179,2,不 用 ， 從 而 祭 ，
179,3,燔 肉 不 至 ，
179,4,不 稅 冕 而 行 。
179,5,不 知 者 以 為 為 肉 也 ；
179,6,其 知 者 以 為 為 無 禮 也 。
179,7,乃 孔 子 則 欲 以 微 罪 行 ，
181,0,不 欲 為 茍 去 。
181,1,君 子 之 所 為 ，
